network,bin_infected,bin_source,count
0, 0, 0, 1221.0
0, 0, 1, 3273.0
0, 0, 2, 2975.0
0, 0, 3, 3022.0
0, 0, 4, 3388.0
0, 0, 5, 2897.0
0, 0, 6, 1995.0
0, 0, 7, 1130.0
0, 0, 8, 1065.0
0, 1, 0, 2470.0
0, 1, 1, 6155.0
0, 1, 2, 5926.0
0, 1, 3, 5696.0
0, 1, 4, 6394.0
0, 1, 5, 5609.0
0, 1, 6, 3756.0
0, 1, 7, 2385.0
0, 1, 8, 2127.0
0, 2, 0, 4461.0
0, 2, 1, 10941.0
0, 2, 2, 10188.0
0, 2, 3, 10314.0
0, 2, 4, 11283.0
0, 2, 5, 10020.0
0, 2, 6, 6511.0
0, 2, 7, 3994.0
0, 2, 8, 3894.0
0, 3, 0, 4438.0
0, 3, 1, 10784.0
0, 3, 2, 10233.0
0, 3, 3, 10168.0
0, 3, 4, 11363.0
0, 3, 5, 10050.0
0, 3, 6, 6595.0
0, 3, 7, 3874.0
0, 3, 8, 3828.0
0, 4, 0, 4636.0
0, 4, 1, 11247.0
0, 4, 2, 10821.0
0, 4, 3, 10723.0
0, 4, 4, 11795.0
0, 4, 5, 10474.0
0, 4, 6, 6981.0
0, 4, 7, 4282.0
0, 4, 8, 4008.0
0, 5, 0, 4352.0
0, 5, 1, 10823.0
0, 5, 2, 10330.0
0, 5, 3, 9956.0
0, 5, 4, 11105.0
0, 5, 5, 9703.0
0, 5, 6, 6599.0
0, 5, 7, 3983.0
0, 5, 8, 3785.0
0, 6, 0, 3356.0
0, 6, 1, 8279.0
0, 6, 2, 7881.0
0, 6, 3, 7800.0
0, 6, 4, 8851.0
0, 6, 5, 7577.0
0, 6, 6, 5232.0
0, 6, 7, 3077.0
0, 6, 8, 2913.0
0, 7, 0, 2459.0
0, 7, 1, 5849.0
0, 7, 2, 5513.0
0, 7, 3, 5356.0
0, 7, 4, 6069.0
0, 7, 5, 5209.0
0, 7, 6, 3533.0
0, 7, 7, 2105.0
0, 7, 8, 2046.0
0, 8, 0, 2256.0
0, 8, 1, 5422.0
0, 8, 2, 5238.0
0, 8, 3, 5081.0
0, 8, 4, 5741.0
0, 8, 5, 4942.0
0, 8, 6, 3463.0
0, 8, 7, 2005.0
0, 8, 8, 1952.0
1, 0, 0, 3297.0
1, 0, 1, 5302.0
