network,bin_infected,bin_source,count
2, 4, 2, 145846.0
2, 4, 3, 144562.0
2, 4, 4, 154047.0
2, 4, 5, 2036.0
2, 4, 6, 1426.0
2, 4, 7, 828.0
2, 4, 8, 768.0
2, 5, 0, 0.0
2, 5, 1, 0.0
2, 5, 2, 2954.0
2, 5, 3, 2937.0
2, 5, 4, 3466.0
2, 5, 5, 174027.0
2, 5, 6, 116276.0
2, 5, 7, 73951.0
2, 5, 8, 67835.0
2, 6, 0, 0.0
2, 6, 1, 0.0
2, 6, 2, 2245.0
2, 6, 3, 1851.0
2, 6, 4, 2591.0
2, 6, 5, 119076.0
2, 6, 6, 82425.0
2, 6, 7, 52325.0
2, 6, 8, 46166.0
2, 7, 0, 0.0
2, 7, 1, 0.0
2, 7, 2, 1336.0
2, 7, 3, 1099.0
2, 7, 4, 1251.0
2, 7, 5, 74464.0
2, 7, 6, 52033.0
2, 7, 7, 33592.0
2, 7, 8, 29087.0
2, 8, 0, 0.0
2, 8, 1, 0.0
2, 8, 2, 1252.0
2, 8, 3, 1297.0
2, 8, 4, 1329.0
2, 8, 5, 74234.0
2, 8, 6, 50455.0
2, 8, 7, 32118.0
2, 8, 8, 28074.0
