network,bin_infected,bin_source,count
0, 0, 0, 8283.0
0, 0, 1, 13500.0
0, 0, 2, 12571.0
0, 0, 3, 12538.0
0, 0, 4, 13292.0
0, 0, 5, 13568.0
0, 0, 6, 8720.0
0, 0, 7, 5383.0
0, 0, 8, 4709.0
0, 1, 0, 11283.0
0, 1, 1, 19272.0
0, 1, 2, 16649.0
0, 1, 3, 16735.0
0, 1, 4, 18015.0
0, 1, 5, 18332.0
0, 1, 6, 11789.0
0, 1, 7, 7521.0
0, 1, 8, 6439.0
0, 2, 0, 26613.0
0, 2, 1, 44843.0
0, 2, 2, 40346.0
0, 2, 3, 40625.0
0, 2, 4, 43256.0
0, 2, 5, 43874.0
0, 2, 6, 28826.0
0, 2, 7, 17808.0
0, 2, 8, 15434.0
0, 3, 0, 26878.0
0, 3, 1, 45041.0
0, 3, 2, 40944.0
0, 3, 3, 40433.0
0, 3, 4, 43504.0
0, 3, 5, 44099.0
0, 3, 6, 28597.0
0, 3, 7, 17993.0
0, 3, 8, 15352.0
0, 4, 0, 27706.0
0, 4, 1, 46888.0
0, 4, 2, 42372.0
0, 4, 3, 42329.0
0, 4, 4, 44846.0
0, 4, 5, 45672.0
0, 4, 6, 29886.0
0, 4, 7, 18559.0
0, 4, 8, 15969.0
0, 5, 0, 22999.0
0, 5, 1, 39490.0
0, 5, 2, 35287.0
0, 5, 3, 35077.0
0, 5, 4, 38049.0
0, 5, 5, 38905.0
0, 5, 6, 24999.0
0, 5, 7, 15613.0
0, 5, 8, 13508.0
0, 6, 0, 17160.0
0, 6, 1, 29637.0
0, 6, 2, 26283.0
0, 6, 3, 25791.0
0, 6, 4, 27934.0
0, 6, 5, 28429.0
0, 6, 6, 18822.0
0, 6, 7, 11774.0
0, 6, 8, 10042.0
0, 7, 0, 11445.0
0, 7, 1, 19837.0
0, 7, 2, 17539.0
0, 7, 3, 17661.0
0, 7, 4, 18719.0
0, 7, 5, 19368.0
0, 7, 6, 12409.0
0, 7, 7, 7918.0
0, 7, 8, 6826.0
0, 8, 0, 10810.0
0, 8, 1, 18973.0
0, 8, 2, 16414.0
0, 8, 3, 16576.0
0, 8, 4, 17849.0
0, 8, 5, 18051.0
0, 8, 6, 11845.0
0, 8, 7, 7522.0
0, 8, 8, 6327.0
1, 0, 0, 21451.0
1, 0, 1, 21973.0
1, 0, 2, 24990.0
1, 0, 3, 20903.0
1, 0, 4, 23391.0
1, 0, 5, 14084.0
1, 0, 6, 3038.0
1, 0, 7, 28.0
1, 0, 8, 26.0
1, 1, 0, 16928.0
1, 1, 1, 39334.0
1, 1, 2, 15869.0
1, 1, 3, 18321.0
1, 1, 4, 23930.0
1, 1, 5, 36088.0
1, 1, 6, 14110.0
1, 1, 7, 1766.0
1, 1, 8, 675.0
1, 2, 0, 37061.0
1, 2, 1, 32132.0
1, 2, 2, 48058.0
1, 2, 3, 48499.0
1, 2, 4, 21001.0
1, 2, 5, 20884.0
1, 2, 6, 21446.0
1, 2, 7, 7876.0
1, 2, 8, 2931.0
1, 3, 0, 30128.0
1, 3, 1, 35869.0
1, 3, 2, 46877.0
1, 3, 3, 39162.0
1, 3, 4, 35468.0
1, 3, 5, 11044.0
1, 3, 6, 5982.0
1, 3, 7, 6148.0
1, 3, 8, 2444.0
1, 4, 0, 32274.0
1, 4, 1, 45668.0
1, 4, 2, 21440.0
1, 4, 3, 33601.0
1, 4, 4, 37114.0
1, 4, 5, 46340.0
1, 4, 6, 11429.0
1, 4, 7, 3834.0
1, 4, 8, 3292.0
1, 5, 0, 17108.0
1, 5, 1, 57607.0
1, 5, 2, 17628.0
1, 5, 3, 9060.0
1, 5, 4, 40424.0
1, 5, 5, 36462.0
1, 5, 6, 26949.0
1, 5, 7, 5934.0
1, 5, 8, 2522.0
1, 6, 0, 4040.0
1, 6, 1, 23950.0
1, 6, 2, 18949.0
1, 6, 3, 4985.0
1, 6, 4, 10772.0
1, 6, 5, 27813.0
1, 6, 6, 16100.0
1, 6, 7, 15254.0
1, 6, 8, 3924.0
1, 7, 0, 17.0
1, 7, 1, 2829.0
1, 7, 2, 6950.0
1, 7, 3, 5660.0
1, 7, 4, 4021.0
1, 7, 5, 6933.0
1, 7, 6, 15106.0
1, 7, 7, 9978.0
1, 7, 8, 14009.0
1, 8, 0, 17.0
1, 8, 1, 1006.0
1, 8, 2, 2357.0
1, 8, 3, 1986.0
1, 8, 4, 3006.0
1, 8, 5, 2527.0
1, 8, 6, 4037.0
1, 8, 7, 14740.0
1, 8, 8, 16202.0
2, 0, 0, 228028.0
2, 0, 1, 0.0
2, 0, 2, 757.0
2, 0, 3, 758.0
2, 0, 4, 807.0
2, 0, 5, 0.0
2, 0, 6, 0.0
2, 0, 7, 0.0
2, 0, 8, 0.0
2, 1, 0, 0.0
2, 1, 1, 375899.0
2, 1, 2, 1000.0
2, 1, 3, 881.0
2, 1, 4, 949.0
2, 1, 5, 0.0
2, 1, 6, 0.0
2, 1, 7, 0.0
2, 1, 8, 0.0
2, 2, 0, 1699.0
2, 2, 1, 2516.0
2, 2, 2, 76820.0
2, 2, 3, 75320.0
2, 2, 4, 81781.0
2, 2, 5, 891.0
2, 2, 6, 705.0
2, 2, 7, 400.0
2, 2, 8, 342.0
2, 3, 0, 1645.0
2, 3, 1, 2574.0
2, 3, 2, 77439.0
2, 3, 3, 77141.0
2, 3, 4, 83847.0
2, 3, 5, 961.0
2, 3, 6, 558.0
2, 3, 7, 264.0
2, 3, 8, 355.0
2, 4, 0, 1796.0
2, 4, 1, 2368.0
2, 4, 2, 80203.0
2, 4, 3, 78978.0
2, 4, 4, 85899.0
2, 4, 5, 1010.0
2, 4, 6, 763.0
2, 4, 7, 346.0
2, 4, 8, 354.0
2, 5, 0, 0.0
2, 5, 1, 0.0
2, 5, 2, 417.0
2, 5, 3, 478.0
2, 5, 4, 569.0
2, 5, 5, 112601.0
2, 5, 6, 71166.0
2, 5, 7, 44693.0
2, 5, 8, 41629.0
2, 6, 0, 0.0
2, 6, 1, 0.0
2, 6, 2, 368.0
2, 6, 3, 292.0
2, 6, 4, 406.0
2, 6, 5, 78819.0
2, 6, 6, 52399.0
2, 6, 7, 33947.0
2, 6, 8, 29197.0
2, 7, 0, 0.0
2, 7, 1, 0.0
2, 7, 2, 227.0
2, 7, 3, 186.0
2, 7, 4, 214.0
2, 7, 5, 49728.0
2, 7, 6, 34356.0
2, 7, 7, 21870.0
2, 7, 8, 18684.0
2, 8, 0, 0.0
2, 8, 1, 0.0
2, 8, 2, 198.0
2, 8, 3, 230.0
2, 8, 4, 212.0
2, 8, 5, 48627.0
2, 8, 6, 31810.0
2, 8, 7, 19385.0
2, 8, 8, 16891.0
