network,bin_infected,bin_source,count
0, 0, 0, 10868.0
0, 0, 1, 17614.0
0, 0, 2, 16190.0
0, 0, 3, 16279.0
0, 0, 4, 17560.0
0, 0, 5, 17599.0
0, 0, 6, 11228.0
0, 0, 7, 7273.0
0, 0, 8, 6278.0
0, 1, 0, 13287.0
0, 1, 1, 23209.0
0, 1, 2, 20112.0
0, 1, 3, 20163.0
0, 1, 4, 21696.0
0, 1, 5, 22045.0
0, 1, 6, 14695.0
0, 1, 7, 9135.0
0, 1, 8, 7988.0
0, 2, 0, 33420.0
0, 2, 1, 56428.0
0, 2, 2, 50223.0
0, 2, 3, 50001.0
0, 2, 4, 54138.0
0, 2, 5, 54632.0
0, 2, 6, 35598.0
0, 2, 7, 22448.0
0, 2, 8, 19640.0
0, 3, 0, 34113.0
0, 3, 1, 56821.0
0, 3, 2, 50680.0
0, 3, 3, 50381.0
0, 3, 4, 54821.0
0, 3, 5, 55296.0
0, 3, 6, 35896.0
0, 3, 7, 22588.0
0, 3, 8, 19664.0
0, 4, 0, 35101.0
0, 4, 1, 58685.0
0, 4, 2, 52546.0
0, 4, 3, 51739.0
0, 4, 4, 56312.0
0, 4, 5, 56707.0
0, 4, 6, 37286.0
0, 4, 7, 23302.0
0, 4, 8, 20320.0
0, 5, 0, 29063.0
0, 5, 1, 49213.0
0, 5, 2, 43153.0
0, 5, 3, 43195.0
0, 5, 4, 46363.0
0, 5, 5, 47506.0
0, 5, 6, 31080.0
0, 5, 7, 19454.0
0, 5, 8, 17180.0
0, 6, 0, 21306.0
0, 6, 1, 36370.0
0, 6, 2, 31827.0
0, 6, 3, 31381.0
0, 6, 4, 33991.0
0, 6, 5, 34657.0
0, 6, 6, 22707.0
0, 6, 7, 14157.0
0, 6, 8, 12462.0
0, 7, 0, 13975.0
0, 7, 1, 24155.0
0, 7, 2, 21145.0
0, 7, 3, 20938.0
0, 7, 4, 22704.0
0, 7, 5, 23090.0
0, 7, 6, 15235.0
0, 7, 7, 9673.0
0, 7, 8, 8542.0
0, 8, 0, 13281.0
0, 8, 1, 23305.0
0, 8, 2, 20284.0
0, 8, 3, 19779.0
0, 8, 4, 21638.0
0, 8, 5, 21900.0
0, 8, 6, 14545.0
0, 8, 7, 9061.0
0, 8, 8, 7866.0
1, 0, 0, 28403.0
1, 0, 1, 28528.0
1, 0, 2, 32397.0
1, 0, 3, 27001.0
1, 0, 4, 30019.0
1, 0, 5, 18525.0
1, 0, 6, 4093.0
1, 0, 7, 33.0
1, 0, 8, 46.0
1, 1, 0, 19954.0
1, 1, 1, 47132.0
1, 1, 2, 18822.0
1, 1, 3, 21599.0
1, 1, 4, 28554.0
1, 1, 5, 42541.0
1, 1, 6, 17208.0
1, 1, 7, 2072.0
1, 1, 8, 714.0
1, 2, 0, 43942.0
1, 2, 1, 38517.0
1, 2, 2, 57471.0
1, 2, 3, 58851.0
1, 2, 4, 25837.0
1, 2, 5, 25246.0
1, 2, 6, 25615.0
1, 2, 7, 9488.0
1, 2, 8, 3430.0
1, 3, 0, 35923.0
1, 3, 1, 42796.0
1, 3, 2, 58791.0
1, 3, 3, 47969.0
1, 3, 4, 42675.0
1, 3, 5, 13292.0
1, 3, 6, 7462.0
1, 3, 7, 7645.0
1, 3, 8, 2882.0
1, 4, 0, 38393.0
1, 4, 1, 55963.0
1, 4, 2, 25538.0
1, 4, 3, 41146.0
1, 4, 4, 45327.0
1, 4, 5, 56893.0
1, 4, 6, 14582.0
1, 4, 7, 4811.0
1, 4, 8, 4120.0
1, 5, 0, 20414.0
1, 5, 1, 69614.0
1, 5, 2, 20543.0
1, 5, 3, 10884.0
1, 5, 4, 48412.0
1, 5, 5, 43235.0
1, 5, 6, 31895.0
1, 5, 7, 7438.0
1, 5, 8, 3235.0
1, 6, 0, 4689.0
1, 6, 1, 28727.0
1, 6, 2, 21868.0
1, 6, 3, 6075.0
1, 6, 4, 12535.0
1, 6, 5, 33297.0
1, 6, 6, 19421.0
1, 6, 7, 17843.0
1, 6, 8, 4398.0
1, 7, 0, 34.0
1, 7, 1, 3430.0
1, 7, 2, 7982.0
1, 7, 3, 6242.0
1, 7, 4, 4561.0
1, 7, 5, 7922.0
1, 7, 6, 17586.0
1, 7, 7, 11823.0
1, 7, 8, 16098.0
1, 8, 0, 25.0
1, 8, 1, 1285.0
1, 8, 2, 2717.0
1, 8, 3, 2448.0
1, 8, 4, 3443.0
1, 8, 5, 2908.0
1, 8, 6, 4645.0
1, 8, 7, 17109.0
1, 8, 8, 18238.0
2, 0, 0, 279079.0
2, 0, 1, 0.0
2, 0, 2, 791.0
2, 0, 3, 808.0
2, 0, 4, 890.0
2, 0, 5, 0.0
2, 0, 6, 0.0
2, 0, 7, 0.0
2, 0, 8, 0.0
2, 1, 0, 0.0
2, 1, 1, 442313.0
2, 1, 2, 997.0
2, 1, 3, 925.0
2, 1, 4, 986.0
2, 1, 5, 0.0
2, 1, 6, 0.0
2, 1, 7, 0.0
2, 1, 8, 0.0
2, 2, 0, 2127.0
2, 2, 1, 2834.0
2, 2, 2, 88215.0
2, 2, 3, 86018.0
2, 2, 4, 95232.0
2, 2, 5, 1109.0
2, 2, 6, 841.0
2, 2, 7, 454.0
2, 2, 8, 384.0
2, 3, 0, 2052.0
2, 3, 1, 3059.0
2, 3, 2, 89734.0
2, 3, 3, 88942.0
2, 3, 4, 96727.0
2, 3, 5, 1190.0
2, 3, 6, 658.0
2, 3, 7, 365.0
2, 3, 8, 396.0
2, 4, 0, 2243.0
2, 4, 1, 2786.0
2, 4, 2, 92692.0
2, 4, 3, 91030.0
2, 4, 4, 98769.0
2, 4, 5, 1235.0
2, 4, 6, 901.0
2, 4, 7, 420.0
2, 4, 8, 425.0
2, 5, 0, 0.0
2, 5, 1, 0.0
2, 5, 2, 457.0
2, 5, 3, 522.0
2, 5, 4, 566.0
2, 5, 5, 131423.0
2, 5, 6, 84695.0
2, 5, 7, 53095.0
2, 5, 8, 49017.0
2, 6, 0, 0.0
2, 6, 1, 0.0
2, 6, 2, 344.0
2, 6, 3, 316.0
2, 6, 4, 396.0
2, 6, 5, 91785.0
2, 6, 6, 61721.0
2, 6, 7, 38520.0
2, 6, 8, 33784.0
2, 7, 0, 0.0
2, 7, 1, 0.0
2, 7, 2, 245.0
2, 7, 3, 183.0
2, 7, 4, 247.0
2, 7, 5, 57852.0
2, 7, 6, 39979.0
2, 7, 7, 24905.0
2, 7, 8, 21642.0
2, 8, 0, 0.0
2, 8, 1, 0.0
2, 8, 2, 230.0
2, 8, 3, 217.0
2, 8, 4, 207.0
2, 8, 5, 56612.0
2, 8, 6, 37093.0
2, 8, 7, 23045.0
2, 8, 8, 19662.0
