network,bin_infected,bin_source,count
0, 0, 0, 11843.0
0, 0, 1, 19586.0
0, 0, 2, 19671.0
0, 0, 3, 19629.0
0, 0, 4, 22111.0
0, 0, 5, 20375.0
0, 0, 6, 12693.0
0, 0, 7, 7752.0
0, 0, 8, 7538.0
0, 1, 0, 14300.0
0, 1, 1, 26247.0
0, 1, 2, 25869.0
0, 1, 3, 25904.0
0, 1, 4, 28903.0
0, 1, 5, 26759.0
0, 1, 6, 17062.0
0, 1, 7, 10402.0
0, 1, 8, 9989.0
0, 2, 0, 30628.0
0, 2, 1, 53336.0
0, 2, 2, 53401.0
0, 2, 3, 52963.0
0, 2, 4, 59275.0
0, 2, 5, 54461.0
0, 2, 6, 34858.0
0, 2, 7, 20964.0
0, 2, 8, 20358.0
0, 3, 0, 31183.0
0, 3, 1, 53539.0
0, 3, 2, 53536.0
0, 3, 3, 53817.0
0, 3, 4, 60138.0
0, 3, 5, 55457.0
0, 3, 6, 35013.0
0, 3, 7, 21166.0
0, 3, 8, 20622.0
0, 4, 0, 32357.0
0, 4, 1, 55597.0
0, 4, 2, 55169.0
0, 4, 3, 55814.0
0, 4, 4, 61865.0
0, 4, 5, 56733.0
0, 4, 6, 36062.0
0, 4, 7, 21808.0
0, 4, 8, 21065.0
0, 5, 0, 30517.0
0, 5, 1, 52637.0
0, 5, 2, 52066.0
0, 5, 3, 52297.0
0, 5, 4, 57603.0
0, 5, 5, 53573.0
0, 5, 6, 33840.0
0, 5, 7, 20699.0
0, 5, 8, 20163.0
0, 6, 0, 21797.0
0, 6, 1, 38454.0
0, 6, 2, 38250.0
0, 6, 3, 38442.0
0, 6, 4, 42317.0
0, 6, 5, 39240.0
0, 6, 6, 25205.0
0, 6, 7, 15140.0
0, 6, 8, 14466.0
0, 7, 0, 14625.0
0, 7, 1, 25632.0
0, 7, 2, 25346.0
0, 7, 3, 25662.0
0, 7, 4, 28552.0
0, 7, 5, 26250.0
0, 7, 6, 16645.0
0, 7, 7, 10301.0
0, 7, 8, 9898.0
0, 8, 0, 14171.0
0, 8, 1, 24853.0
0, 8, 2, 24621.0
0, 8, 3, 24362.0
0, 8, 4, 27521.0
0, 8, 5, 25203.0
0, 8, 6, 15826.0
0, 8, 7, 9723.0
0, 8, 8, 9550.0
1, 0, 0, 29381.0
1, 0, 1, 31989.0
1, 0, 2, 40062.0
1, 0, 3, 32466.0
1, 0, 4, 36118.0
1, 0, 5, 20849.0
1, 0, 6, 4853.0
1, 0, 7, 21.0
1, 0, 8, 48.0
1, 1, 0, 20273.0
1, 1, 1, 50025.0
1, 1, 2, 23267.0
1, 1, 3, 26631.0
1, 1, 4, 35720.0
1, 1, 5, 47127.0
1, 1, 6, 18847.0
1, 1, 7, 2406.0
1, 1, 8, 836.0
1, 2, 0, 39523.0
1, 2, 1, 36220.0
1, 2, 2, 60928.0
1, 2, 3, 61561.0
1, 2, 4, 28676.0
1, 2, 5, 24177.0
1, 2, 6, 26238.0
1, 2, 7, 9776.0
1, 2, 8, 3024.0
1, 3, 0, 31589.0
1, 3, 1, 40020.0
1, 3, 2, 62187.0
1, 3, 3, 48887.0
1, 3, 4, 42627.0
1, 3, 5, 12717.0
1, 3, 6, 6779.0
1, 3, 7, 7120.0
1, 3, 8, 3151.0
1, 4, 0, 34991.0
1, 4, 1, 54398.0
1, 4, 2, 27826.0
1, 4, 3, 44333.0
1, 4, 4, 48144.0
1, 4, 5, 54774.0
1, 4, 6, 13532.0
1, 4, 7, 4977.0
1, 4, 8, 4164.0
1, 5, 0, 19852.0
1, 5, 1, 73087.0
1, 5, 2, 23341.0
1, 5, 3, 13150.0
1, 5, 4, 57691.0
1, 5, 5, 44608.0
1, 5, 6, 34930.0
1, 5, 7, 8140.0
1, 5, 8, 3447.0
1, 6, 0, 4484.0
1, 6, 1, 30102.0
1, 6, 2, 25968.0
1, 6, 3, 7159.0
1, 6, 4, 14532.0
1, 6, 5, 34455.0
1, 6, 6, 21585.0
1, 6, 7, 17923.0
1, 6, 8, 4829.0
1, 7, 0, 35.0
1, 7, 1, 3735.0
1, 7, 2, 9693.0
1, 7, 3, 7584.0
1, 7, 4, 5244.0
1, 7, 5, 8386.0
1, 7, 6, 18195.0
1, 7, 7, 12043.0
1, 7, 8, 17083.0
1, 8, 0, 74.0
1, 8, 1, 1209.0
1, 8, 2, 2593.0
1, 8, 3, 3136.0
1, 8, 4, 4071.0
1, 8, 5, 2848.0
1, 8, 6, 4575.0
1, 8, 7, 17467.0
1, 8, 8, 19014.0
2, 0, 0, 244143.0
2, 0, 1, 0.0
2, 0, 2, 2905.0
2, 0, 3, 2872.0
2, 0, 4, 2675.0
2, 0, 5, 0.0
2, 0, 6, 0.0
2, 0, 7, 0.0
2, 0, 8, 0.0
2, 1, 0, 0.0
2, 1, 1, 454805.0
2, 1, 2, 4073.0
2, 1, 3, 3766.0
2, 1, 4, 4484.0
2, 1, 5, 0.0
2, 1, 6, 0.0
2, 1, 7, 0.0
2, 1, 8, 0.0
2, 2, 0, 1320.0
2, 2, 1, 2318.0
2, 2, 2, 98022.0
2, 2, 3, 94384.0
2, 2, 4, 103371.0
2, 2, 5, 1285.0
2, 2, 6, 1030.0
2, 2, 7, 503.0
2, 2, 8, 401.0
2, 3, 0, 1318.0
2, 3, 1, 2063.0
2, 3, 2, 98180.0
2, 3, 3, 97092.0
2, 3, 4, 105692.0
2, 3, 5, 1461.0
2, 3, 6, 864.0
2, 3, 7, 391.0
2, 3, 8, 571.0
2, 4, 0, 1381.0
2, 4, 1, 2182.0
2, 4, 2, 100764.0
2, 4, 3, 101139.0
2, 4, 4, 106981.0
2, 4, 5, 1363.0
2, 4, 6, 1022.0
2, 4, 7, 557.0
2, 4, 8, 545.0
2, 5, 0, 0.0
2, 5, 1, 0.0
2, 5, 2, 1738.0
2, 5, 3, 1792.0
2, 5, 4, 2094.0
2, 5, 5, 118220.0
2, 5, 6, 74777.0
2, 5, 7, 46323.0
2, 5, 8, 42691.0
2, 6, 0, 0.0
2, 6, 1, 0.0
2, 6, 2, 1373.0
2, 6, 3, 1254.0
2, 6, 4, 1719.0
2, 6, 5, 84565.0
2, 6, 6, 56621.0
2, 6, 7, 33847.0
2, 6, 8, 29983.0
2, 7, 0, 0.0
2, 7, 1, 0.0
2, 7, 2, 768.0
2, 7, 3, 734.0
2, 7, 4, 784.0
2, 7, 5, 54892.0
2, 7, 6, 36304.0
2, 7, 7, 22656.0
2, 7, 8, 20001.0
2, 8, 0, 0.0
2, 8, 1, 0.0
2, 8, 2, 631.0
2, 8, 3, 782.0
2, 8, 4, 874.0
2, 8, 5, 54120.0
2, 8, 6, 34698.0
2, 8, 7, 21356.0
2, 8, 8, 18735.0
