network,bin_infected,bin_source,count
0, 0, 0, 5252.0
0, 0, 1, 10483.0
0, 0, 2, 9872.0
0, 0, 3, 9699.0
0, 0, 4, 10901.0
0, 0, 5, 10010.0
0, 0, 6, 6613.0
0, 0, 7, 3901.0
0, 0, 8, 3784.0
0, 1, 0, 8403.0
0, 1, 1, 16649.0
0, 1, 2, 15716.0
0, 1, 3, 15694.0
0, 1, 4, 17752.0
0, 1, 5, 15929.0
0, 1, 6, 10676.0
0, 1, 7, 6172.0
0, 1, 8, 5971.0
0, 2, 0, 16069.0
0, 2, 1, 31154.0
0, 2, 2, 30082.0
0, 2, 3, 29744.0
0, 2, 4, 33372.0
0, 2, 5, 30264.0
0, 2, 6, 19897.0
0, 2, 7, 11624.0
0, 2, 8, 11339.0
0, 3, 0, 16231.0
0, 3, 1, 31298.0
0, 3, 2, 30075.0
0, 3, 3, 29835.0
0, 3, 4, 33167.0
0, 3, 5, 30671.0
0, 3, 6, 19864.0
0, 3, 7, 11775.0
0, 3, 8, 11450.0
0, 4, 0, 16676.0
0, 4, 1, 32394.0
0, 4, 2, 31473.0
0, 4, 3, 31072.0
0, 4, 4, 35090.0
0, 4, 5, 31739.0
0, 4, 6, 20741.0
0, 4, 7, 12110.0
0, 4, 8, 11858.0
0, 5, 0, 15999.0
0, 5, 1, 31128.0
0, 5, 2, 29824.0
0, 5, 3, 29589.0
0, 5, 4, 33223.0
0, 5, 5, 30094.0
0, 5, 6, 19640.0
0, 5, 7, 11625.0
0, 5, 8, 11278.0
0, 6, 0, 12144.0
0, 6, 1, 23685.0
0, 6, 2, 22807.0
0, 6, 3, 22484.0
0, 6, 4, 25410.0
0, 6, 5, 22909.0
0, 6, 6, 14975.0
0, 6, 7, 9029.0
0, 6, 8, 8443.0
0, 7, 0, 8362.0
0, 7, 1, 16303.0
0, 7, 2, 15789.0
0, 7, 3, 15450.0
0, 7, 4, 17019.0
0, 7, 5, 15642.0
0, 7, 6, 10305.0
0, 7, 7, 6041.0
0, 7, 8, 5767.0
0, 8, 0, 7811.0
0, 8, 1, 15172.0
0, 8, 2, 14580.0
0, 8, 3, 14664.0
0, 8, 4, 16166.0
0, 8, 5, 14653.0
0, 8, 6, 9681.0
0, 8, 7, 5902.0
0, 8, 8, 5621.0
1, 0, 0, 13317.0
1, 0, 1, 16598.0
1, 0, 2, 19958.0
1, 0, 3, 16718.0
